{'profileIconId': 522, 'summonerLevel': 30, 'revisionDate': 1415971167000L, 'id': 9638, 'name': 'ZeroFlex'} 'mostUsedChampion': Akali  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 559, 'summonerLevel': 30, 'revisionDate': 1416963685000L, 'id': 20742, 'name': 'CemixV'} 'mostUsedChampion': Vi  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 11, 'summonerLevel': 30, 'revisionDate': 1399634987000L, 'id': 246179, 'name': 'gloub'} 'mostUsedChampion': Vi  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 588, 'summonerLevel': 30, 'revisionDate': 1417047304000L, 'id': 13892, 'name': 'Zerdex'} 'mostUsedChampion': Vi  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 28, 'summonerLevel': 30, 'revisionDate': 1417047417000L, 'id': 7866, 'name': 'Brainfreeze'} 'mostUsedChampion': Vi  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 605, 'summonerLevel': 30, 'revisionDate': 1416710443000L, 'id': 2225, 'name': 'KarmicKatri'} 'mostUsedChampion': Vi  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 10, 'summonerLevel': 30, 'revisionDate': 1411823048000L, 'id': 60827, 'name': 'bigronron'} 'mostUsedChampion': Chogath  'mostUsedChampion': Chogath  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 716, 'summonerLevel': 30, 'revisionDate': 1416140999000L, 'id': 69337, 'name': 'Ponkaton'} 'mostUsedChampion': Chogath  'mostUsedChampion': Chogath  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 641, 'summonerLevel': 30, 'revisionDate': 1417026753000L, 'id': 2941, 'name': 'Sen'} 'mostUsedChampion': Chogath  'mostUsedChampion': Chogath  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 504, 'summonerLevel': 30, 'revisionDate': 1412216626000L, 'id': 49971, 'name': 'zimer12'} 'mostUsedChampion': Irelia  'mostUsedChampion': Irelia  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 23, 'summonerLevel': 30, 'revisionDate': 1416833785000L, 'id': 6987, 'name': 'GoOmBa'} 'mostUsedChampion': Irelia  'mostUsedChampion': Irelia  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 548, 'summonerLevel': 30, 'revisionDate': 1406711257000L, 'id': 37235, 'name': 'ArdVark'} 'mostUsedChampion': Irelia  'mostUsedChampion': Irelia  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 691, 'summonerLevel': 30, 'revisionDate': 1416996531000L, 'id': 4652, 'name': 'Tako'} 'mostUsedChampion': Irelia  'mostUsedChampion': Irelia  'mostUsedChampion': Irelia 
{'profileIconId': 9, 'summonerLevel': 30, 'revisionDate': 1416905798000L, 'id': 9178, 'name': 'mrdotn'} 'mostUsedChampion': Irelia  'mostUsedChampion': Irelia  'mostUsedChampion': Irelia 
{'profileIconId': 10, 'summonerLevel': 30, 'revisionDate': 1403156550000L, 'id': 1249, 'name': 'crazybeast17'} 'mostUsedChampion': Irelia  'mostUsedChampion': Irelia  'mostUsedChampion': Irelia 
{'profileIconId': 21, 'summonerLevel': 30, 'revisionDate': 1390922571000L, 'id': 8552, 'name': 'Lowki'} 'mostUsedChampion': Irelia  'mostUsedChampion': Irelia  'mostUsedChampion': Irelia 
{'profileIconId': 7, 'summonerLevel': 30, 'revisionDate': 1411364933000L, 'id': 5563, 'name': 'MadDogrma'} 'mostUsedChampion': Irelia  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Irelia 
{'profileIconId': 713, 'summonerLevel': 30, 'revisionDate': 1417031459000L, 'id': 8115, 'name': 'Eggy'} 'mostUsedChampion': Tristana  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 716, 'summonerLevel': 30, 'revisionDate': 1416832638000L, 'id': 70899, 'name': 'Lelith'} 'mostUsedChampion': Shen  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 16, 'summonerLevel': 30, 'revisionDate': 1407323899000L, 'id': 6847, 'name': 'PacketLoss'} 'mostUsedChampion': Shen  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 522, 'summonerLevel': 30, 'revisionDate': 1415971167000L, 'id': 9638, 'name': 'ZeroFlex'} 'mostUsedChampion': Akali  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 559, 'summonerLevel': 30, 'revisionDate': 1416963685000L, 'id': 20742, 'name': 'CemixV'} 'mostUsedChampion': Vi  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 11, 'summonerLevel': 30, 'revisionDate': 1399634987000L, 'id': 246179, 'name': 'gloub'} 'mostUsedChampion': Vi  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 588, 'summonerLevel': 30, 'revisionDate': 1417047304000L, 'id': 13892, 'name': 'Zerdex'} 'mostUsedChampion': Vi  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 28, 'summonerLevel': 30, 'revisionDate': 1417047417000L, 'id': 7866, 'name': 'Brainfreeze'} 'mostUsedChampion': Vi  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 605, 'summonerLevel': 30, 'revisionDate': 1416710443000L, 'id': 2225, 'name': 'KarmicKatri'} 'mostUsedChampion': Vi  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 10, 'summonerLevel': 30, 'revisionDate': 1411823048000L, 'id': 60827, 'name': 'bigronron'} 'mostUsedChampion': Chogath  'mostUsedChampion': Chogath  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 716, 'summonerLevel': 30, 'revisionDate': 1416140999000L, 'id': 69337, 'name': 'Ponkaton'} 'mostUsedChampion': Chogath  'mostUsedChampion': Chogath  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 641, 'summonerLevel': 30, 'revisionDate': 1417026753000L, 'id': 2941, 'name': 'Sen'} 'mostUsedChampion': Chogath  'mostUsedChampion': Chogath  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 504, 'summonerLevel': 30, 'revisionDate': 1412216626000L, 'id': 49971, 'name': 'zimer12'} 'mostUsedChampion': Irelia  'mostUsedChampion': Irelia  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 23, 'summonerLevel': 30, 'revisionDate': 1416833785000L, 'id': 6987, 'name': 'GoOmBa'} 'mostUsedChampion': Irelia  'mostUsedChampion': Irelia  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 548, 'summonerLevel': 30, 'revisionDate': 1406711257000L, 'id': 37235, 'name': 'ArdVark'} 'mostUsedChampion': Irelia  'mostUsedChampion': Irelia  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 691, 'summonerLevel': 30, 'revisionDate': 1416996531000L, 'id': 4652, 'name': 'Tako'} 'mostUsedChampion': Irelia  'mostUsedChampion': Irelia  'mostUsedChampion': Irelia 
{'profileIconId': 9, 'summonerLevel': 30, 'revisionDate': 1416905798000L, 'id': 9178, 'name': 'mrdotn'} 'mostUsedChampion': Irelia  'mostUsedChampion': Irelia  'mostUsedChampion': Irelia 
{'profileIconId': 10, 'summonerLevel': 30, 'revisionDate': 1403156550000L, 'id': 1249, 'name': 'crazybeast17'} 'mostUsedChampion': Irelia  'mostUsedChampion': Irelia  'mostUsedChampion': Irelia 
{'profileIconId': 21, 'summonerLevel': 30, 'revisionDate': 1390922571000L, 'id': 8552, 'name': 'Lowki'} 'mostUsedChampion': Irelia  'mostUsedChampion': Irelia  'mostUsedChampion': Irelia 
{'profileIconId': 7, 'summonerLevel': 30, 'revisionDate': 1411364933000L, 'id': 5563, 'name': 'MadDogrma'} 'mostUsedChampion': Irelia  'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': Irelia 
{'profileIconId': 603, 'summonerLevel': 30, 'revisionDate': 1407589200000L, 'id': 9271, 'name': 'firethorn245'} 'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 603, 'summonerLevel': 30, 'revisionDate': 1407589200000L, 'id': 9271, 'name': 'firethorn245'} 'mostUsedChampion': GAME DATA NOT FOUND  'mostUsedChampion': GAME DATA NOT FOUND 
{'profileIconId': 713, 'summonerLevel': 30, 'revisionDate': 1416711172000L, 'id': 4998, 'name': 'Roozter'} 'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh 
{'profileIconId': 548, 'summonerLevel': 30, 'revisionDate': 1416996153000L, 'id': 4923, 'name': 'Sin'} 'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh 
{'profileIconId': 713, 'summonerLevel': 30, 'revisionDate': 1416711172000L, 'id': 4998, 'name': 'Roozter'} 'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh 
{'profileIconId': 548, 'summonerLevel': 30, 'revisionDate': 1416996153000L, 'id': 4923, 'name': 'Sin'} 'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh  'mostUsedChampion': Thresh 
